Date,Location,AQI,SO2,NO2,O3,CO,C6H6,PM10,PM2.5,Pb,Arsen,Cadmiu,Nichel,Benzo(a)pyrene
2022-02-13,Bucharest,59.66,166.97,105.68,41.6,7.73,4.58,18.09,8.02,0.15,1.3,3.24,18.47,0.19
2022-02-14,Bucharest,48.15,235.75,69.44,85.42,9.01,0.0,2.37,4.87,0.1,3.58,4.26,10.43,0.91
2022-02-15,Bucharest,43.07,308.42,94.44,87.0,0.31,2.97,7.36,24.45,0.27,0.97,2.51,8.14,0.99
2022-02-16,Bucharest,41.81,45.22,161.37,82.09,4.11,2.75,35.96,14.06,0.24,2.31,2.94,13.5,0.73
2022-02-17,Bucharest,51.9,192.23,199.86,24.6,0.46,0.73,32.43,16.61,0.4,4.41,2.49,13.17,0.01
2022-02-18,Bucharest,52.27,260.96,55.5,99.6,5.81,0.35,37.78,10.76,0.07,5.38,4.57,4.39,0.91
2022-02-19,Bucharest,39.95,135.29,67.48,67.22,6.24,0.01,35.43,9.48,0.16,5.26,1.81,8.22,0.68
2022-02-20,Bucharest,41.0,70.83,143.22,84.93,6.24,0.3,46.04,1.15,0.24,0.35,0.54,15.84,0.48
2022-02-21,Bucharest,61.9,183.73,135.37,70.98,1.72,0.22,42.55,2.12,0.12,2.41,1.16,0.32,0.17
2022-02-22,Bucharest,63.96,17.26,134.35,70.82,6.92,4.02,8.17,17.88,0.31,0.96,0.89,12.39,0.98
2022-02-23,Bucharest,59.04,177.73,52.17,40.16,7.76,3.72,44.01,10.33,0.47,0.77,4.85,4.95,0.26
2022-02-24,Bucharest,47.61,248.82,32.31,77.0,4.74,1.69,45.47,0.23,0.11,0.39,0.81,2.6,0.56
2022-02-25,Bucharest,45.58,343.1,34.53,53.72,0.28,0.68,10.58,23.01,0.24,3.65,2.6,5.97,0.59
2022-02-26,Bucharest,42.96,79.59,182.29,105.44,0.95,4.5,17.49,12.89,0.42,2.47,4.35,2.83,0.79
2022-02-27,Bucharest,39.46,333.33,184.6,93.46,4.46,2.7,38.16,15.52,0.08,4.3,2.4,0.4,0.1
2022-02-28,Bucharest,62.95,26.49,94.6,33.66,6.1,3.56,16.56,21.47,0.36,5.55,2.58,16.65,0.04
2022-03-01,Bucharest,49.75,134.86,197.62,118.11,8.44,0.6,41.03,1.78,0.06,2.43,0.85,15.29,0.98
2022-03-02,Bucharest,56.59,304.04,140.67,111.34,8.94,0.19,48.58,14.41,0.2,0.32,4.59,2.58,0.12
2022-03-03,Bucharest,58.69,309.51,144.79,16.6,8.55,0.47,23.08,3.98,0.07,0.08,4.87,5.33,0.88
2022-03-04,Bucharest,52.95,198.75,124.76,109.59,4.27,4.51,47.82,13.87,0.1,0.65,0.39,15.8,0.2
2022-03-05,Bucharest,59.65,237.17,143.36,116.2,9.33,3.63,32.15,14.5,0.35,5.11,4.69,5.03,0.77
2022-03-06,Bucharest,40.47,109.78,109.65,43.8,3.89,2.75,10.43,22.03,0.49,3.43,0.42,3.64,0.43
2022-03-07,Bucharest,46.13,0.42,176.41,58.26,7.46,4.11,43.51,18.48,0.36,3.79,1.87,14.58,0.37
2022-03-08,Bucharest,54.69,341.62,23.39,116.37,9.37,0.87,4.41,11.92,0.38,2.56,4.26,3.7,0.18
2022-03-09,Bucharest,68.16,134.76,112.08,50.31,1.85,4.17,8.96,18.83,0.32,2.22,1.03,16.84,0.74
2022-03-10,Bucharest,52.54,164.82,170.68,88.51,2.62,2.73,47.07,4.51,0.08,2.71,2.43,14.06,0.54
2022-03-11,Bucharest,60.89,208.51,24.45,80.11,1.22,0.7,3.04,8.78,0.06,0.34,0.16,19.65,0.69
2022-03-12,Bucharest,51.69,219.26,70.47,109.31,4.96,1.81,17.88,5.93,0.31,3.72,2.97,4.03,0.26
2022-03-13,Bucharest,55.9,26.95,171.41,35.98,5.76,0.78,31.93,20.13,0.06,1.31,0.49,16.85,0.8
2022-03-14,Bucharest,39.89,24.59,0.91,103.47,2.34,4.54,48.47,6.31,0.33,3.31,1.72,18.08,0.89
2022-03-15,Bucharest,39.32,280.51,180.42,61.82,5.02,1.06,33.99,9.67,0.01,2.15,1.51,11.19,0.39
2022-03-16,Bucharest,44.58,326.28,40.32,38.71,8.74,1.37,7.06,23.7,0.4,5.57,4.08,8.22,0.36
2022-03-17,Bucharest,42.0,70.48,116.01,99.51,2.62,3.32,37.47,12.61,0.13,5.92,2.64,3.79,0.88
2022-03-18,Bucharest,42.2,211.9,76.75,111.2,2.61,3.25,3.92,24.15,0.34,1.84,4.58,10.86,0.71
2022-03-19,Bucharest,58.44,247.97,166.89,6.02,4.32,0.46,36.05,10.64,0.01,3.05,3.65,18.33,0.11
2022-03-20,Bucharest,46.79,9.58,165.32,116.53,2.56,4.26,48.69,0.92,0.1,0.4,0.53,12.23,0.62
2022-03-21,Bucharest,46.11,258.51,27.55,83.03,0.95,1.63,22.97,23.7,0.07,0.85,2.25,1.13,0.27
2022-03-22,Bucharest,43.38,317.92,111.35,106.16,7.13,2.88,42.87,23.47,0.2,3.34,1.41,1.82,0.64
2022-03-23,Bucharest,41.58,196.06,33.83,102.19,7.18,1.87,7.94,12.65,0.5,5.51,3.62,17.45,0.47
2022-03-24,Bucharest,42.98,128.93,83.76,28.35,5.96,2.56,31.26,20.87,0.22,5.46,2.53,7.46,0.63
2022-03-25,Bucharest,66.48,249.61,171.72,21.35,2.62,0.47,20.27,0.62,0.45,2.12,4.57,16.87,0.8
2022-03-26,Bucharest,57.14,263.1,32.84,80.5,2.78,2.99,8.74,16.0,0.07,0.69,0.45,14.22,0.73
2022-03-27,Bucharest,51.1,286.49,166.8,111.83,6.57,0.42,42.42,18.87,0.31,3.24,1.54,18.23,0.47
2022-03-28,Bucharest,40.29,31.26,25.85,107.54,5.94,4.09,29.29,5.13,0.4,3.32,1.55,18.78,0.19
2022-03-29,Bucharest,44.01,309.28,65.1,94.38,7.17,3.08,24.53,4.06,0.14,5.89,3.91,19.76,0.28
2022-03-30,Bucharest,35.47,59.28,113.22,106.15,2.72,1.28,39.78,8.22,0.07,0.27,3.96,5.79,0.99
2022-03-31,Bucharest,56.66,41.26,66.29,100.95,5.25,2.63,22.98,4.69,0.2,0.58,1.85,4.77,0.35
2022-04-01,Bucharest,54.42,283.23,37.32,15.02,3.28,4.48,9.98,20.0,0.42,1.45,0.86,9.05,0.04
2022-04-02,Bucharest,59.36,106.74,33.04,81.97,5.55,0.11,1.2,13.58,0.3,5.83,4.39,3.15,0.11
2022-04-03,Bucharest,62.2,164.79,144.98,111.66,4.27,2.22,3.15,4.72,0.05,2.17,0.48,10.05,0.45
2022-04-04,Bucharest,52.34,112.78,84.27,33.31,0.87,1.48,0.37,21.85,0.46,4.02,3.91,14.17,0.38
2022-04-05,Bucharest,49.76,230.73,66.98,10.14,5.01,4.28,5.04,22.03,0.32,2.9,1.25,2.46,0.48
2022-04-06,Bucharest,52.18,99.36,29.99,62.34,9.67,1.09,16.28,18.1,0.49,1.37,1.43,5.87,0.12
2022-04-07,Bucharest,61.59,117.08,45.42,109.27,4.13,0.06,46.7,15.42,0.1,4.35,4.44,16.95,0.15
2022-04-08,Bucharest,52.24,230.2,172.85,63.56,6.63,1.25,37.33,23.71,0.22,1.35,1.52,11.18,0.68
2022-04-09,Bucharest,49.1,184.56,85.67,37.36,6.66,1.99,34.64,24.66,0.35,5.15,2.08,12.26,0.46
2022-04-10,Bucharest,45.23,130.8,162.89,45.56,1.09,3.24,46.88,22.69,0.27,3.9,0.04,14.25,0.79
2022-04-11,Bucharest,50.76,163.42,134.96,0.13,1.51,2.46,10.6,0.05,0.23,1.08,4.97,16.29,0.49
2022-04-12,Bucharest,44.55,218.72,3.73,50.93,1.45,4.5,13.23,3.15,0.1,0.83,1.79,7.58,0.52
2022-04-13,Bucharest,59.8,176.79,152.17,72.41,7.7,3.67,49.48,19.62,0.39,4.11,1.85,3.04,0.29
2022-04-14,Bucharest,52.58,123.96,81.1,19.96,6.16,4.34,12.88,2.2,0.29,4.5,1.11,9.15,0.99
2022-04-15,Bucharest,59.54,41.61,65.53,52.06,5.56,3.89,35.71,15.54,0.46,0.38,1.55,6.1,0.52
2022-04-16,Bucharest,38.16,236.64,83.1,4.78,2.84,0.97,25.9,8.31,0.01,4.45,2.86,12.37,0.26
2022-04-17,Bucharest,56.46,55.73,5.89,11.33,1.92,0.46,49.28,10.01,0.48,3.61,0.39,19.45,0.72
2022-04-18,Bucharest,50.4,26.15,195.88,28.04,4.48,4.9,9.31,20.48,0.42,1.0,4.22,4.3,0.43
2022-04-19,Bucharest,56.74,55.67,196.97,25.5,7.17,2.15,45.52,24.48,0.18,2.34,3.45,12.72,0.35
2022-04-20,Bucharest,53.92,216.75,179.59,26.53,8.64,0.9,26.85,14.74,0.34,2.48,3.13,10.38,0.63
2022-04-21,Bucharest,55.79,25.93,141.96,16.59,6.38,2.55,2.59,0.63,0.46,2.58,0.14,6.55,0.87
2022-04-22,Bucharest,34.53,4.53,133.42,94.84,3.99,1.04,15.35,4.23,0.06,1.2,0.53,11.57,0.3
2022-04-23,Bucharest,47.0,316.85,130.96,104.9,0.73,0.68,29.51,19.41,0.08,1.59,1.95,11.19,0.2
2022-04-24,Bucharest,35.71,39.21,174.71,35.76,2.72,0.2,4.89,13.99,0.26,0.53,2.39,6.41,0.55
2022-04-25,Bucharest,47.35,287.93,86.89,46.07,1.98,0.27,48.76,23.54,0.07,0.76,4.5,11.32,0.85
2022-04-26,Bucharest,56.01,346.39,173.71,111.78,1.86,2.94,31.86,20.25,0.08,2.29,3.3,18.52,0.37
2022-04-27,Bucharest,49.69,42.12,122.36,118.57,5.97,0.44,6.09,8.06,0.44,2.6,3.74,11.82,0.74
2022-04-28,Bucharest,42.26,64.99,55.3,28.69,9.51,1.91,16.15,7.58,0.39,3.72,1.92,17.34,0.86
2022-04-29,Bucharest,57.68,136.29,156.45,25.46,6.56,2.01,15.55,14.49,0.22,4.59,2.26,9.69,0.64
2022-04-30,Bucharest,64.2,136.77,87.33,78.7,7.0,1.75,37.97,4.23,0.18,1.88,2.11,8.94,0.84
2022-05-01,Bucharest,54.58,52.83,88.67,92.66,0.5,2.75,30.5,19.0,0.46,2.36,1.36,5.21,0.28
2022-05-02,Bucharest,51.99,171.5,76.19,76.82,1.62,0.4,6.17,5.04,0.08,4.7,0.06,1.75,0.55
2022-05-03,Bucharest,42.42,338.69,58.48,18.08,7.88,2.05,22.69,16.15,0.17,2.23,2.63,13.17,0.52
2022-05-04,Bucharest,48.77,5.78,48.49,47.41,0.85,4.92,14.29,15.67,0.42,1.27,0.8,15.25,0.98
2022-05-05,Bucharest,59.81,280.62,3.25,84.51,6.1,1.45,20.29,14.5,0.25,3.47,2.07,4.55,0.45
2022-05-06,Bucharest,48.96,240.4,174.34,82.5,6.66,2.42,16.6,9.17,0.42,5.56,2.4,4.51,0.08
2022-05-07,Bucharest,55.98,298.79,54.42,28.33,9.89,4.05,11.13,19.82,0.14,2.55,0.99,1.27,0.61
2022-05-08,Bucharest,36.86,128.05,193.27,65.41,7.46,2.95,10.7,3.51,0.04,0.39,1.17,19.62,0.75
2022-05-09,Bucharest,67.79,110.4,163.67,10.59,9.85,2.61,9.15,4.59,0.47,2.32,2.24,11.13,0.03
2022-05-10,Bucharest,63.25,128.83,32.37,104.77,5.72,4.92,9.24,12.74,0.2,5.92,2.45,17.79,0.49
2022-05-11,Bucharest,36.02,343.21,173.33,61.27,5.66,2.96,36.96,20.46,0.3,1.51,2.02,3.69,0.9
2022-05-12,Bucharest,56.56,77.0,14.03,20.95,2.8,0.38,41.75,21.8,0.28,1.41,4.08,13.45,0.34
2022-05-13,Bucharest,38.65,127.19,68.09,55.53,9.86,4.93,22.06,22.26,0.21,1.68,1.93,4.0,0.87
2022-05-14,Bucharest,44.94,339.8,114.38,79.77,6.87,1.01,19.07,9.9,0.03,1.05,1.33,1.16,0.73
2022-05-15,Bucharest,61.45,223.67,162.35,66.26,0.01,3.33,30.25,4.98,0.43,5.14,2.22,0.05,0.62
2022-05-16,Bucharest,50.97,58.34,10.13,44.39,9.96,3.79,36.7,9.64,0.43,2.6,4.02,4.45,0.9
2022-05-17,Bucharest,41.52,263.6,170.31,59.95,3.0,0.55,48.71,8.39,0.09,0.9,0.51,0.53,0.07
2022-05-18,Bucharest,33.27,302.16,92.11,75.1,8.62,1.32,2.07,3.88,0.12,4.31,0.22,10.41,0.71
2022-05-19,Bucharest,54.2,284.03,156.36,7.11,7.4,2.05,49.04,8.6,0.14,2.12,1.54,7.09,0.36
2022-05-20,Bucharest,42.92,328.39,16.64,52.88,8.63,1.43,28.86,7.24,0.14,4.06,3.84,4.79,0.8
2022-05-21,Bucharest,45.38,247.86,1.91,27.27,9.66,0.68,4.7,18.58,0.48,5.59,0.77,10.99,0.11
2022-05-22,Bucharest,40.31,161.51,48.34,17.72,7.22,2.77,11.66,20.37,0.0,5.41,2.46,7.58,0.06
2022-05-23,Bucharest,48.21,103.02,127.43,65.96,9.93,1.01,5.57,21.74,0.44,4.45,1.61,19.35,0.39
2022-05-24,Bucharest,58.87,269.5,8.42,99.27,9.35,2.3,10.38,9.56,0.23,4.06,3.18,9.02,0.86
2022-05-25,Bucharest,46.39,217.48,23.24,73.3,8.27,4.97,40.41,15.05,0.11,5.92,4.09,7.46,0.95
2022-05-26,Bucharest,58.47,23.27,34.6,110.43,8.75,2.14,9.78,18.15,0.31,2.78,4.96,19.56,0.75
2022-05-27,Bucharest,45.2,307.7,169.19,57.56,2.64,0.99,34.85,0.02,0.43,3.22,2.31,13.91,0.32
2022-05-28,Bucharest,54.51,139.41,16.26,53.34,8.81,1.66,39.17,3.23,0.28,4.0,1.31,7.22,0.64
2022-05-29,Bucharest,44.55,278.5,192.05,111.1,4.34,0.76,0.42,3.96,0.25,0.68,3.05,12.13,0.64
2022-05-30,Bucharest,42.3,25.87,32.39,112.61,10.0,2.15,36.6,2.07,0.24,0.12,1.61,14.4,0.56
2022-05-31,Bucharest,55.14,70.96,72.15,38.36,7.12,1.35,47.67,1.89,0.29,2.9,2.0,13.21,0.22
2022-06-01,Bucharest,52.29,187.19,185.77,2.95,8.0,3.79,32.8,8.58,0.25,2.7,1.12,15.41,0.46
2022-06-02,Bucharest,55.63,345.83,73.97,6.87,4.74,3.92,7.25,10.14,0.06,5.68,4.0,17.61,0.7
2022-06-03,Bucharest,41.03,185.21,102.64,48.82,5.84,4.17,1.49,16.15,0.49,1.31,4.31,1.65,0.52
2022-06-04,Bucharest,35.48,220.91,107.38,5.36,4.01,1.1,33.5,15.12,0.12,1.0,1.99,10.06,0.14
2022-06-05,Bucharest,46.64,15.36,155.56,25.44,0.31,4.2,3.02,18.62,0.47,0.18,4.32,3.51,0.6
2022-06-06,Bucharest,43.23,83.87,49.08,111.18,1.83,1.81,31.52,13.99,0.47,0.36,0.67,8.65,0.7
2022-06-07,Bucharest,62.41,305.18,13.69,11.53,3.86,3.16,44.65,0.96,0.08,2.72,0.35,0.25,0.1
2022-06-08,Bucharest,47.91,162.86,115.97,32.19,7.63,4.67,36.77,8.25,0.36,3.04,4.18,4.66,0.47
2022-06-09,Bucharest,44.49,115.95,139.08,2.27,1.22,1.39,17.27,8.16,0.21,0.04,3.6,18.03,0.36
2022-06-10,Bucharest,52.72,237.55,182.25,102.31,7.17,0.52,33.41,19.29,0.34,0.63,4.89,11.58,0.4
2022-06-11,Bucharest,57.56,89.33,136.8,106.86,0.83,1.04,48.3,24.4,0.25,5.22,3.97,6.96,0.01
2022-06-12,Bucharest,42.78,5.65,120.63,89.83,3.65,4.22,13.06,23.76,0.3,2.26,2.11,7.59,0.58
2022-06-13,Bucharest,36.58,216.35,49.39,6.04,5.64,1.19,42.21,0.99,0.09,0.38,0.24,4.78,0.31
2022-06-14,Bucharest,62.88,244.47,5.36,107.67,4.59,1.59,35.15,4.49,0.13,3.28,3.02,4.21,0.01
2022-06-15,Bucharest,57.84,324.94,177.25,99.93,7.38,4.53,17.58,5.05,0.31,2.69,2.89,18.7,0.09
2022-06-16,Bucharest,50.85,263.04,146.91,39.21,7.15,3.45,42.57,15.41,0.2,4.28,1.75,9.33,0.1
2022-06-17,Bucharest,55.65,227.18,70.07,70.81,5.13,4.35,42.65,20.91,0.49,4.39,0.62,15.16,0.86
2022-06-18,Bucharest,58.64,246.33,10.2,0.13,2.72,0.18,23.01,14.65,0.04,1.88,4.95,8.32,0.59
2022-06-19,Bucharest,67.33,36.05,142.13,36.82,9.25,2.19,8.83,4.63,0.33,0.74,4.52,12.7,0.59
2022-06-20,Bucharest,47.78,14.65,184.22,74.39,8.56,0.37,36.47,13.63,0.13,5.85,1.61,16.38,0.06
2022-06-21,Bucharest,39.46,128.33,169.8,1.27,3.04,4.17,47.24,5.97,0.32,2.62,0.04,5.65,0.54
2022-06-22,Bucharest,67.17,245.24,91.43,18.57,4.64,1.4,48.43,21.03,0.22,4.02,2.92,7.61,0.31
2022-06-23,Bucharest,65.97,68.76,118.19,118.07,1.81,0.02,12.21,8.52,0.17,3.53,0.29,4.59,0.4
2022-06-24,Bucharest,32.92,95.85,130.41,95.04,2.73,1.13,6.53,14.05,0.42,3.31,2.54,15.84,0.82
2022-06-25,Bucharest,56.29,133.42,6.53,107.72,4.22,4.65,34.51,3.7,0.05,3.8,0.47,18.97,0.69
2022-06-26,Bucharest,60.17,230.87,122.39,95.92,0.97,1.79,37.74,19.32,0.05,3.33,1.23,0.59,0.64
2022-06-27,Bucharest,51.78,304.72,193.91,116.41,8.51,2.92,34.5,9.92,0.11,3.62,3.78,9.0,0.84
2022-06-28,Bucharest,45.3,342.36,56.84,19.93,9.1,4.0,48.34,3.72,0.43,5.29,2.77,17.35,0.13
2022-06-29,Bucharest,40.9,13.52,111.61,87.51,1.07,4.31,6.72,9.29,0.26,5.16,0.84,13.28,0.74
2022-06-30,Bucharest,57.15,117.75,28.81,97.92,7.61,2.79,16.48,0.94,0.0,3.35,4.41,5.71,0.36
2022-07-01,Bucharest,63.54,32.47,32.15,80.74,4.16,4.41,47.59,24.39,0.38,5.22,1.27,18.63,0.07
2022-07-02,Bucharest,62.67,217.7,109.11,115.42,6.43,0.35,32.8,5.85,0.2,2.04,2.33,8.81,0.76
2022-07-03,Bucharest,54.18,316.46,77.68,9.75,7.09,1.62,8.43,3.54,0.05,3.84,0.96,8.42,0.05
2022-07-04,Bucharest,36.19,296.77,192.47,64.82,0.66,1.26,35.57,12.38,0.45,1.54,3.22,19.56,0.62
2022-07-05,Bucharest,33.98,192.64,186.66,14.82,2.08,3.82,42.87,1.13,0.45,5.31,0.64,5.42,0.25
2022-07-06,Bucharest,50.24,337.54,141.13,90.05,0.89,4.65,20.13,9.91,0.03,2.88,1.95,11.6,0.93
2022-07-07,Bucharest,43.4,59.48,104.14,17.94,1.28,3.71,8.33,2.25,0.23,3.42,3.3,1.59,0.89
2022-07-08,Bucharest,39.35,111.85,119.71,117.72,0.9,2.23,38.47,20.02,0.43,5.43,3.86,5.08,0.38
2022-07-09,Bucharest,54.11,30.26,68.85,55.99,4.88,2.52,21.53,20.65,0.33,3.12,0.18,9.9,0.08
2022-07-10,Bucharest,54.84,125.25,73.15,28.37,8.68,2.52,25.74,24.22,0.48,5.04,0.49,3.79,0.98
2022-07-11,Bucharest,37.53,162.98,76.07,8.38,7.57,3.7,27.82,1.83,0.42,1.33,3.09,16.48,0.22
2022-07-12,Bucharest,55.74,151.78,6.14,81.79,3.23,3.49,31.88,17.31,0.47,5.55,2.62,5.65,0.59
2022-07-13,Bucharest,32.54,64.4,112.89,9.96,4.2,4.81,12.18,10.92,0.18,1.06,2.21,5.52,0.32
2022-07-14,Bucharest,45.38,101.03,97.47,20.59,0.91,4.06,7.63,19.55,0.32,4.45,3.63,1.69,0.89
2022-07-15,Bucharest,38.22,295.98,41.1,11.35,6.37,3.96,29.87,22.78,0.49,5.35,1.46,12.64,0.57
2022-07-16,Bucharest,57.21,72.1,190.59,59.66,2.49,1.79,42.96,7.14,0.05,0.11,2.63,1.45,0.53
2022-07-17,Bucharest,61.79,320.98,54.03,87.73,5.17,0.39,5.7,10.01,0.1,5.35,3.27,4.5,0.41
2022-07-18,Bucharest,45.33,67.23,37.19,55.46,9.96,0.37,23.53,16.21,0.26,3.32,0.33,0.81,0.16
2022-07-19,Bucharest,56.56,48.52,160.4,2.19,3.66,4.21,7.84,20.21,0.1,5.93,4.17,6.63,0.15
2022-07-20,Bucharest,31.88,147.48,121.44,95.09,5.5,4.2,13.46,10.12,0.2,0.84,4.13,5.9,0.98
2022-07-21,Bucharest,59.68,266.95,80.15,104.53,6.36,4.51,6.5,11.93,0.09,4.39,1.84,0.11,0.0
2022-07-22,Bucharest,53.94,124.65,192.91,31.8,0.65,3.41,24.26,14.7,0.11,5.91,4.89,3.24,0.89
2022-07-23,Bucharest,49.35,222.88,79.78,117.33,7.85,2.72,49.72,16.23,0.2,1.06,4.42,3.97,0.46
2022-07-24,Bucharest,59.2,74.6,190.96,119.66,3.49,2.62,9.43,9.26,0.2,3.69,1.75,0.06,0.07
2022-07-25,Bucharest,61.47,47.4,7.03,42.13,2.82,0.25,44.1,14.64,0.02,3.79,3.32,12.31,0.21
2022-07-26,Bucharest,50.77,263.67,57.48,36.14,7.11,0.61,1.75,9.55,0.07,0.31,1.02,5.14,0.77
2022-07-27,Bucharest,51.03,320.54,63.2,17.32,5.75,4.18,42.48,14.74,0.23,1.4,3.68,0.64,0.93
2022-07-28,Bucharest,50.78,162.56,130.37,113.09,0.95,3.5,34.32,5.51,0.1,3.55,2.0,10.3,0.61
2022-07-29,Bucharest,51.0,346.85,14.95,6.2,9.96,0.29,28.59,10.6,0.47,2.72,1.83,2.75,0.59
2022-07-30,Bucharest,54.64,251.62,84.81,97.52,8.36,2.12,34.1,22.06,0.11,5.99,3.23,10.49,0.75
2022-07-31,Bucharest,45.35,317.44,7.21,72.76,7.99,4.53,26.52,16.73,0.26,2.61,3.7,8.2,0.62
2022-08-01,Bucharest,56.96,10.46,53.05,3.46,7.1,1.17,25.83,13.88,0.24,4.16,3.82,11.74,0.84
